,userId,rating,movieId
0,airf,2.0,136900.0
1,airf,10.0,163788.0
2,airf,10.0,174065.0
3,nanw,10.0,154667.0
4,nanw,10.0,136900.0
5,nanw,10.0,145335.0
6,nanw,9.0,120141.0
7,nanw,9.0,54704.0
8,zxcv,7.0,113351.0
9,zxcv,10.0,86507.0
10,zxcv,10.0,39705.0
11,zxcv,1.0,39756.0
12,zxcv,10.0,31925.0
13,zxcv,6.0,35098.0
14,zxcv,1.0,168679.0
15,zxcv,8.0,123300.0
16,zxcv,2.0,151188.0
17,zxcv,2.0,41592.0
18,zxcv,10.0,18811.0
19,zxcv,1.0,118994.0
20,zxcv,2.0,164183.0
21,zxcv,10.0,76016.0
22,zxcv,10.0,130997.0
23,zxcv,10.0,24522.0
24,zxcv,1.0,148909.0
25,zxcv,2.0,139700.0
26,zxcv,1.0,158622.0
27,zxcv,10.0,171725.0
28,zxcv,6.0,181411.0
29,zxcv,7.0,164932.0
30,zxcv,1.0,132623.0
31,zxcv,10.0,58072.0
32,zxcv,5.0,67696.0
33,zxcv,1.0,61060.0
34,zxcv,10.0,76037.0
35,zxcv,6.0,141104.0
36,zxcv,10.0,34431.0
37,zxcv,10.0,38689.0
38,zxcv,10.0,31882.0
39,zxcv,1.0,158112.0
40,zxcv,1.0,126034.0
41,zxcv,6.0,116233.0
42,zxcv,7.0,167651.0
43,zxcv,3.0,167697.0
44,zxcv,5.0,67533.0
45,zxcv,8.0,105246.0
46,zxcv,6.0,146501.0
47,zxcv,6.0,106065.0
48,zxcv,1.0,161868.0
49,zxcv,2.0,146485.0
50,zxcv,9.0,29558.0
51,zxcv,9.0,152632.0
52,zxcv,8.0,169643.0
53,zxcv,9.0,122596.0
54,zxcv,6.0,39907.0
55,zxcv,8.0,57971.0
56,zxcv,8.0,10504.0
57,zxcv,10.0,13008.0
58,zxcv,8.0,87305.0
59,zxcv,10.0,37838.0
60,zxcv,10.0,29321.0
61,zxcv,6.0,151153.0
62,zxcv,1.0,11181.0
63,zxcv,5.0,165475.0
64,zxcv,4.0,170879.0
65,zxcv,9.0,27563.0
66,zxcv,1.0,178654.0
67,zxcv,4.0,160375.0
68,zxcv,2.0,168047.0
